issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
364,26603,20,46,0.019491525423728815,3.1199152542372883,2360,0,1,1,85027,85027,11.547874507673503,0.0,0.08659500399868279,0.013682153059690273,36.01313002964845,2018,12
330,267988,9,67,0.014031413612565446,6.822198952879581,4775,0,1,1,83675,83675,2.5686087917485265,0.0,0.38931115254075244,0.001231393825865987,17.519891122278057,2012,4
96,4100,0,4,0.004073319755600814,10.10183299389002,982,0,1,0,82219,82219,8.288205645161291,0.0,0.12065190951106787,0.023408924652523776,83.64089521871821,2022,9
3013,717316,8,100,0.023430178069353328,7.914245548266167,4268,0,1,1,79224,79224,2.345431937947777,0.0,0.42635531713474284,0.004200374450905249,18.557976106816586,2013,9
2448,70180,2,100,0.11641443538998836,9.960419091967404,859,0,1,1,77839,77839,9.097592332865824,0.0,0.10991778006166496,0.03488123566207378,90.51046511627906,2023,1
461,76438,4,0,0.0,1.8019908528383104,3717,0,1,0,77661,77661,11.594655120931622,0.0,0.08624552548221781,0.0060309527858815526,20.887842926304465,2015,3
1253,640389,0,18,0.005298793052693553,13.422725934648218,3397,0,1,0,77526,77526,1.7002434370682282,0.0,0.5881434854953758,0.0019566201845750246,22.81518540317834,2016,2
42,7771,19,0,0.0,8.244541484716157,2061,0,1,0,76132,76132,4.480461393596987,0.0,0.22318836772490247,0.005404014410705095,36.921435499515034,2019,10
38,174188,0,0,0.0,6.019036046982584,2469,0,1,1,73592,73592,4.952022071193055,0.0,0.201934966640849,0.00021815384438741826,29.79433198380567,2018,8
123,3152,0,0,0.0,15.482078853046595,558,0,1,1,70002,70002,8.103021183007293,0.0,0.12340899675728183,0.0390104662226451,125.22719141323792,2023,11
11,11009,7,13,0.0023516642547033286,2.9746743849493487,5528,0,1,1,69599,69599,4.23248601313549,0.0,0.23626436781609195,0.0009990917347865577,12.587990595044312,2010,4
109,316965,8,0,0.0,4.111581920903955,2832,0,1,1,69516,69516,5.970113363105462,0.0,0.1674985974653682,0.00034388546405608175,24.537945640663608,2017,8
84,155798,18,29,0.047619047619047616,16.07224958949097,609,0,1,1,69382,69382,7.088475684511647,0.0,0.14107202052375942,0.0005391562205148942,113.74098360655738,2023,9
276,71926,5,4,0.005018820577164366,10.475533249686324,797,0,1,1,68578,68578,8.213917834471195,0.0,0.12174280756499803,0.003837223851961016,85.93734335839599,2023,3
7,3054,0,0,0.0,3.7595160070582305,3967,0,1,0,68188,68188,4.572079924902776,0.0,0.218715628620452,0.0022913256955810145,17.184475806451612,2014,7
9081,700307,0,100,0.03304692663582287,10.571711830799735,3026,0,1,1,67189,67189,2.100312597686777,0.0,0.47611251674356303,0.012967151596154835,22.19656425503799,2017,2
225,17823,16,2,0.0008532423208191126,3.218003412969283,2344,0,1,1,65629,65629,8.700649608908922,0.0,0.11493219564223678,0.01262342908438061,27.98678038379531,2018,12
20,23283,17,3,0.0009551098376313276,4.897484877427571,3141,0,1,1,65611,65611,4.2651628420984204,0.0,0.23445406328110713,0.0008589589417625838,20.881922342457035,2016,10
864,258939,3,45,0.009320629660314831,4.976594863297431,4828,0,1,1,65151,65151,2.7115744787114497,0.0,0.36878376719056977,0.0033366803120413995,13.49161317042866,2012,3
13,166074,20,60,0.07614213197969544,17.31725888324873,788,0,1,1,64306,64306,4.712443206800527,0.0,0.2122008490522027,7.827788649706458e-05,81.50316856780735,2023,3
736,667594,6,100,0.11961722488038277,7.80622009569378,836,0,1,1,63280,63280,9.696598222494638,0.0,0.10312732099682369,0.0011024648177412953,75.60334528076464,2023,2
308,46483,8,48,0.012934518997574777,5.2780921584478575,3711,0,1,1,63027,63027,3.2177975187624446,0.0,0.31076664339658566,0.006625935805868686,16.979256465517242,2015,3
426,7560,19,100,0.029850746268656716,2.97910447761194,3350,0,1,0,62726,62726,6.285170340681363,0.0,0.15910214102380155,0.05634175373627827,18.718591465234258,2016,3
2158,169444,5,99,0.01835032437442076,4.794439295644115,5395,0,1,1,62132,62132,2.4020722183561434,0.0,0.4163005166336729,0.012735695948537873,11.514455151964418,2010,8
429,10460,7,100,0.4854368932038835,33.286407766990294,206,0,1,1,61430,61430,8.958728306839726,0.0,0.11162116846543277,0.04100946372239748,296.7632850241546,2024,10
37,153812,13,0,0.0,3.541522491349481,1734,0,1,1,60752,60752,9.892851327145417,0.0,0.1010814280776258,0.00024055183892128754,35.01556195965418,2020,8
264,100324,6,0,0.0,7.4375917767988255,681,0,1,1,59500,59500,11.747285291214215,0.0,0.08512461975428984,0.0026314477946673314,87.2434017595308,2023,7
314,51449,7,63,0.02010852218321098,1.3255665496329396,3133,0,1,1,59064,59064,14.222008186852877,0.0,0.07031236773046644,0.006103012633624879,18.84620293554563,2016,10
488,1150,0,0,0.0,11.762936221419976,831,0,1,0,58270,58270,5.961125319693094,0.0,0.16775068215750544,0.42397914856646396,70.0360576923077,2023,2
264,3206,7,10,0.05181347150259067,15.404145077720207,193,0,1,0,57886,57886,19.470568449377733,0.0,0.05135868156926426,0.0823199251637044,298.3814432989691,2024,11
